Store Name,Record ID,Likelyname,retailername,group
BENNIE'S SEAFOOD,640798,BENNIES SEAFOOD,BENNIES SEAFOOD,15
BIGGS COMMUNITY STORE,677705,BIGGS COMMUNITY STORE,BIGGS COMMUNITY STORE,15
BROWN'S GROCERY,347357,BROWNS GROCERY,BROWNS GROCERY,15
BROWN'S GROCERY COMMUNITY,356312,BROWNS GROCERY COMMUNITY,BROWNS GROCERY COMMUNITY,15
BROWNS CONVENIENT MART,493664,BROWNS CONVENIENT MART,BROWNS CONVENIENT MART,15
BUDDY'S GROCERY,600298,BUDDYS GROCERY,BUDDYS GROCERY,15
CHESSONS' GROCERY & BOTTLE GAS,548537,CHESSONS GROCERY BOTTLE GAS,CHESSONS GROCERY BOTTLE GAS,15
CINDY'S GROCERY,556346,CINDYS GROCERY,CINDYS GROCERY,15
DANIEL'S MERCANTILE CO,425701,DANIELS MERCANTILE CO,DANIELS MERCANTILE CO,15
DICK'S MINI-MART,553546,DICKS MINIMART,DICKS MINIMART,15
DOWN EAST DISCOUNT CENTER,382300,DOWN EAST DISCOUNT CENTER,DOWN EAST DISCOUNT CENTER,15
DP'S WHOLESALE MEAT LOCKER,272021,DPS WHOLESALE MEAT LOCKER,DPS WHOLESALE MEAT LOCKER,15
EARL'S PLACE,689824,EARLS PLACE,EARLS PLACE,15
ED'S GROCERY,496027,EDS GROCERY,EDS GROCERY,15
EDDIE BOND'S SEAFOOD MARKET,515229,EDDIE BONDS SEAFOOD MARKET,EDDIE BONDS SEAFOOD MARKET,15
FAMILY MART,619163,FAMILY MART,FAMILY MART,15
FAST FARE NC -  501,397452,FAST FARE NC,FAST FARE NC,15
FN FOOD MART,590555,FN FOOD MART,FN FOOD MART,15
FRIENDLY GROCERY,450737,FRIENDLY GROCERY,FRIENDLY GROCERY,15
FROSTY MAN,357814,FROSTY MAN,FROSTY MAN,15
GLENDA'S SEAFOOD,279687,GLENDAS SEAFOOD,GLENDAS SEAFOOD,15
GOLD POINT GROCERY,680034,GOLD POINT GROCERY,GOLD POINT GROCERY,15
GOLDMINE II GRO EXXON,598589,GOLDMINE II GRO EXXON,GOLDMINE II GRO EXXON,15
GRIFFINS' FARMERS SUPPLY INC,299689,GRIFFINS FARMERS SUPPLY,GRIFFINS FARMERS SUPPLY,15
